DATE	CLOSING PRICE	OPEN	DAILY HIGH	DAILY LOW
11/28/2014	6,722.62	6,723.42	6,734.71	6,667.08
11/27/2014	6,723.42	6,729.17	6,749.91	6,713.76
11/26/2014	6,729.17	6,731.14	6,765.01	6,718.53
11/25/2014	6,731.14	6,729.79	6,750.87	6,709.31
11/24/2014	6,729.79	6,750.76	6,763.97	6,720.09
11/21/2014	6,750.76	6,678.90	6,773.14	6,678.90
11/20/2014	6,678.90	6,696.60	6,696.82	6,641.14
11/19/2014	6,696.60	6,709.13	6,718.88	6,678.13
11/18/2014	6,709.13	6,671.97	6,714.12	6,671.75
11/17/2014	6,671.97	6,654.37	6,681.55	6,616.12
11/14/2014	6,654.37	6,635.45	6,654.37	6,610.13
11/13/2014	6,635.45	6,611.04	6,645.90	6,596.89
11/12/2014	6,611.04	6,627.40	6,629.33	6,588.93
11/11/2014	6,627.40	6,611.25	6,632.57	6,605.34
11/10/2014	6,611.25	6,567.24	6,611.25	6,566.78
11/7/2014	6,567.24	6,551.15	6,608.23	6,551.15
11/6/2014	6,551.15	6,539.14	6,580.21	6,503.81
11/5/2014	6,539.14	6,453.97	6,539.14	6,453.97
11/4/2014	6,453.97	6,487.97	6,510.31	6,444.89
11/3/2014	6,487.97	6,546.47	6,559.56	6,478.49
10/31/2014	6,546.47	6,463.55	6,553.37	6,463.55
10/30/2014	6,463.55	6,453.87	6,483.24	6,378.15
10/29/2014	6,453.87	6,402.17	6,475.35	6,402.17
10/28/2014	6,402.17	6,363.46	6,412.00	6,363.46
10/27/2014	6,363.46	6,388.73	6,443.76	6,336.06
10/24/2014	6,388.73	6,419.15	6,419.15	6,372.43
10/23/2014	6,419.15	6,399.73	6,430.32	6,313.32
10/22/2014	6,399.73	6,372.33	6,401.51	6,341.39
10/21/2014	6,372.33	6,267.07	6,372.33	6,229.40
10/20/2014	6,267.07	6,310.29	6,320.31	6,238.60
10/17/2014	6,310.29	6,195.91	6,312.97	6,188.04
10/16/2014	6,195.91	6,211.64	6,282.95	6,072.68
10/15/2014	6,211.64	6,392.68	6,404.96	6,211.64
10/14/2014	6,392.68	6,366.24	6,403.43	6,304.27
10/13/2014	6,366.24	6,339.97	6,387.36	6,294.64
10/10/2014	6,339.97	6,431.85	6,431.85	6,328.39
10/9/2014	6,431.85	6,482.24	6,544.21	6,425.16
10/8/2014	6,482.24	6,495.58	6,502.36	6,453.81
10/7/2014	6,495.58	6,563.65	6,563.84	6,495.58
10/6/2014	6,563.65	6,527.91	6,588.31	6,527.91
10/3/2014	6,527.91	6,446.39	6,542.87	6,446.39
10/2/2014	6,446.39	6,557.52	6,557.67	6,446.39
10/1/2014	6,557.52	6,622.72	6,622.81	6,539.73
9/30/2014	6,622.72	6,646.60	6,658.91	6,601.62
9/29/2014	6,646.60	6,649.39	6,653.94	6,608.66
9/26/2014	6,649.39	6,639.71	6,664.00	6,615.12
9/25/2014	6,639.71	6,706.27	6,726.40	6,621.48
9/24/2014	6,706.27	6,676.08	6,707.26	6,651.98
9/23/2014	6,676.08	6,773.63	6,777.27	6,647.21
9/22/2014	6,773.63	6,837.92	6,838.35	6,766.89
9/19/2014	6,837.92	6,819.29	6,876.00	6,819.29
9/18/2014	6,819.29	6,780.90	6,822.60	6,769.58
9/17/2014	6,780.90	6,792.24	6,816.89	6,780.90
9/16/2014	6,792.24	6,804.21	6,804.34	6,748.09
9/15/2014	6,804.21	6,806.96	6,813.87	6,771.69
9/12/2014	6,806.96	6,799.62	6,832.16	6,799.39
9/11/2014	6,799.62	6,830.11	6,857.54	6,764.86
9/10/2014	6,830.11	6,829.00	6,847.79	6,800.04
9/9/2014	6,829.00	6,834.77	6,846.18	6,812.50
9/8/2014	6,834.77	6,855.10	6,855.10	6,773.78
9/5/2014	6,855.10	6,877.97	6,884.96	6,829.10
9/4/2014	6,877.97	6,873.58	6,904.86	6,866.25
9/3/2014	6,873.58	6,829.17	6,898.62	6,826.73
9/2/2014	6,829.17	6,825.31	6,849.28	6,812.31
9/1/2014	6,825.31	6,819.75	6,825.31	6,798.33
8/29/2014	6,819.75	6,805.80	6,828.92	6,782.63
8/28/2014	6,805.80	6,830.66	6,831.19	6,796.86
8/27/2014	6,830.66	6,822.76	6,830.66	6,813.24
8/26/2014	6,822.76	6,775.25	6,827.32	6,775.25
8/22/2014	6,775.25	6,777.66	6,784.63	6,746.37
8/21/2014	6,777.66	6,755.48	6,780.73	6,752.70
8/20/2014	6,755.48	6,779.31	6,781.23	6,739.76
8/19/2014	6,779.31	6,741.25	6,782.90	6,740.65
8/18/2014	6,741.25	6,689.08	6,745.72	6,689.08
8/15/2014	6,689.08	6,685.26	6,742.82	6,685.25
8/14/2014	6,685.26	6,656.68	6,694.64	6,641.81
8/13/2014	6,656.68	6,632.42	6,664.34	6,625.98
8/12/2014	6,632.42	6,632.82	6,643.70	6,612.52
8/11/2014	6,632.82	6,567.36	6,645.83	6,567.36
8/8/2014	6,567.36	6,597.37	6,597.37	6,528.73
